Main Port Name,state,Latitude,Longitude
NAPOOPOO,Hawaii,19.483333,-155.933333
KAILUA,Hawaii,19.633333,-156.0
KIHOLO,Hawaii,19.866667,-155.95
KAWAIHAE,Hawaii,20.033333,-155.833333
MAHUKONA,Hawaii,20.183333,-155.9
KAHULUI,Hawaii,20.9,-156.466667
LAHAINA,Hawaii,20.866667,-156.666667
KAUNAKAKAI,Hawaii,21.083333,-157.033333
HONOLULU,Hawaii,21.3,-157.866667
GRAND MARAIS,Michigan,46.683333,-85.966667
MUNISING,Michigan,46.416667,-86.65
MARQUETTE,Michigan,46.533333,-87.383333
PRESQUE ISLE,Michigan,46.566667,-87.383333
L ANSE,Michigan,46.766667,-88.466667
CHAUMONT,New York,44.066667,-76.133333
BARAGA,Michigan,46.783333,-88.483333
COPPER HARBOR,Michigan,47.466667,-87.866667
EAGLE HARBOR,Michigan,47.466667,-88.166667
HOUGHTON,Michigan,47.116667,-88.566667
ONTONAGON,Michigan,46.883333,-89.333333
ASHLAND,Wisconsin,46.6,-90.866667
WASHBURN,Wisconsin,46.666667,-90.883333
BAYFIELD,Wisconsin,46.8,-90.816667
LA POINTE,Wisconsin,46.783333,-90.783333
TWO RIVERS,Wisconsin,44.15,-87.566667
KEWAUNEE,Wisconsin,44.466667,-87.5
ALGOMA,Wisconsin,44.6,-87.433333
SAGINAW,Michigan,43.433333,-83.933333
ALABASTER,Michigan,44.183333,-83.55
TAWAS CITY,Michigan,44.266667,-83.5
AU SABLE,Michigan,44.4,-83.316667
OSCODA,Michigan,44.416667,-83.316667
ALPENA,Michigan,45.066667,-83.416667
ROCKPORT,Michigan,45.2,-83.383333
CALCITE,Michigan,45.416667,-83.783333
ROGERS CITY,Michigan,45.45,-83.816667
CHEBOYGAN,Michigan,45.65,-84.466667
MACKINAW CITY,Michigan,45.783333,-84.716667
MACKINAC ISLAND,Michigan,45.85,-84.616667
ST IGNACE,Michigan,45.85,-84.716667
ST. JAMES HARBOR,Michigan,45.733333,-85.516667
HARBOR SPRINGS,Michigan,45.433333,-84.983333
PETOSKEY,Michigan,45.366667,-84.966667
CHARLEVOIX,Michigan,45.316667,-85.266667
TRAVERSE CITY,Michigan,44.766667,-85.616667
LELAND,Michigan,45.016667,-85.766667
FRANKFORT,Michigan,44.633333,-86.25
MANISTEE,Michigan,44.25,-86.316667
LUDINGTON,Michigan,43.95,-86.45
WHITE LAKE,Michigan,43.383333,-86.35
MUSKEGON,Michigan,43.233333,-86.266667
GRAND HAVEN,Michigan,43.066667,-86.233333
HOLLAND,Michigan,42.783333,-86.133333
SAUGATUCK,Michigan,42.666667,-86.2
SOUTH HAVEN,Michigan,42.4,-86.283333
ST JOSEPH,Michigan,42.116667,-86.483333
MICHIGAN CITY,Indiana,41.733333,-86.9
GARY,Indiana,41.616667,-87.333333
BUFFINGTON,Indiana,41.633333,-87.416667
INDIANA HARBOR,Indiana,41.666667,-87.433333
CALUMET HARBOR,Indiana,41.733333,-87.516667
DRY SPRUCE BAY,Alaska,57.933333,-153.033333
KANATAK,Alaska,57.566667,-156.033333
CHIGNIK,Alaska,56.3,-158.4
IVANOF BAY,Alaska,55.8,-159.466667
KING COVE,Alaska,55.05,-162.316667
COLD BAY,Alaska,55.2,-162.7
WHITTIER,Alaska,60.833333,-148.666667
PORT ASHTON,Alaska,60.066667,-148.05
KNUDSON COVE,Alaska,55.466667,-131.8
LORING,Alaska,55.6,-131.633333
YES BAY,Alaska,55.916667,-131.8
WRANGELL,Alaska,56.466667,-132.383333
PETERSBURG,Alaska,56.816667,-132.95
PORT SULPHUR,Louisiana,29.483333,-89.683333
GRETNA,Louisiana,29.916667,-90.066667
NEW ORLEANS,Louisiana,29.95,-90.05
PORT OF MEMPHIS,Tennessee,35.066667,-90.166667
ST ROSE,Louisiana,29.95,-90.316667
RESERVE,Louisiana,30.05,-90.55
DESTREHAN,Louisiana,29.95,-90.366667
BATON ROUGE,Louisiana,30.45,-91.183333
GRAND ISLE,Louisiana,29.233333,-90.0
MORGAN CITY,Louisiana,29.7,-91.216667
HAYMARK TERMINAL,Louisiana,30.133333,-93.316667
LAKE CHARLES,Louisiana,30.216667,-93.25
SABINE,Texas,29.716667,-93.866667
SABINE PASS,Texas,29.733333,-93.9
ORANGE,Texas,30.083333,-93.733333
PORT ARTHUR,Texas,29.833333,-93.966667
BRUNSWICK,Georgia,31.15,-81.5
MAYPORT,Florida,30.4,-81.433333
PAULSBORO,New Jersey,39.85,-75.25
GLOUCESTER,New Jersey,39.9,-75.133333
CAMDEN,Pennsylvania,39.95,-75.133333
BURLINGTON,New Jersey,40.083333,-74.866667
BRISTOL,New Jersey,40.1,-74.85
TRENTON,New Jersey,40.2,-74.766667
CAPE CHARLES,Virginia,37.266667,-76.016667
SALISBURY,Maryland,38.366667,-75.6
HAVRE DE GRACE,Maryland,39.533333,-76.083333
BALTIMORE,Maryland,39.266667,-76.583333
ANNAPOLIS,Maryland,38.983333,-76.483333
SOLOMONS ISLAND,Maryland,38.316667,-76.45
WASHINGTON D.C.,District of Columbia,38.866667,-77.033333
ALEXANDRIA,District of Columbia,38.8,-77.033333
PINEY POINT,Maryland,38.133333,-76.533333
YORKTOWN,Virginia,37.233333,-76.5
WEST POINT,Virginia,37.533333,-76.8
FREDERICKSBURG,Virginia,38.3,-77.45
NORFOLK,Virginia,36.85,-76.3
PORTSMOUTH,Virginia,36.816667,-76.3
NEWPORT NEWS,Virginia,36.966667,-76.433333
WARWICK,Virginia,37.45,-77.416667
RICHMOND,Virginia,37.533333,-77.416667
ELIZABETH CITY,North Carolina,36.3,-76.216667
PORT CHILKOOT,Alaska,59.233333,-135.433333
ORCA,Alaska,60.583333,-145.716667
FUNTER,Alaska,58.25,-134.9
DUPONT,Alaska,58.233333,-134.266667
JUNEAU,Alaska,58.3,-134.416667
HAINES,Alaska,59.233333,-135.433333
TANANI POINT,Alaska,59.283333,-135.45
SKAGWAY,Alaska,59.45,-135.333333
LETNIKOF COVE,Alaska,59.183333,-135.4
EXCURSION INLET,Alaska,58.416667,-135.45
YAKUTAT,Alaska,59.55,-139.733333
KATALLA,Alaska,60.2,-144.533333
CORDOVA,Alaska,60.55,-145.766667
SHEPARD POINT,Alaska,60.633333,-145.666667
SWANPORT,Alaska,61.083333,-146.4
GEORGE INLET,Alaska,55.383333,-131.466667
VALDEZ,Alaska,61.116667,-146.25
HERTFORD,North Carolina,36.183333,-76.466667
EDENTON,North Carolina,36.05,-76.616667
PLYMOUTH,North Carolina,35.866667,-76.75
COLUMBIA,North Carolina,35.916667,-76.25
BELHAVEN,North Carolina,35.616667,-76.616667
WASHINGTON,North Carolina,35.55,-77.05
BAYBORO,North Carolina,35.15,-76.766667
NEW BERN,North Carolina,35.1,-77.05
MOREHEAD CITY,North Carolina,34.716667,-76.7
SWANSBORO,North Carolina,34.683333,-77.133333
WRIGHTSVILLE,North Carolina,34.216667,-77.816667
WILMINGTON,North Carolina,34.233333,-77.95
GEORGETOWN,South Carolina,33.366667,-79.283333
CHARLESTON,South Carolina,32.783333,-79.916667
PORT ROYAL,South Carolina,32.366667,-80.683333
BEAUFORT,South Carolina,32.433333,-80.666667
SAVANNAH,Georgia,32.083333,-81.083333
DARIEN,Georgia,31.366667,-81.433333
PHILADELPHIA,Pennsylvania,39.95,-75.133333
NEW YORK CITY,New Jersey,40.7,-74.016667
PATCHOGUE,New York,40.75,-73.016667
YONKERS,New York,40.933333,-73.9
NEWBURGH,New York,41.5,-74.0
POUGHKEEPSIE,New York,41.7,-73.95
KINGSTON,New York,41.933333,-73.966667
CATSKILL,New York,42.216667,-73.85
ALBANY,New York,42.65,-73.75
RENSSELAER,New York,42.65,-73.75
TROY,New York,42.733333,-73.7
EDGEWATER,New Jersey,40.816667,-73.983333
WEEHAWKEN,New Jersey,40.766667,-74.016667
HOBOKEN,New Jersey,40.75,-74.016667
JERSEY CITY,New Jersey,40.716667,-74.033333
BAYONNE,New Jersey,40.683333,-74.1
NEWARK,New Jersey,40.7,-74.15
ELIZABETHPORT,New Jersey,40.65,-74.183333
PORT RICHMOND SI,New Jersey,40.65,-74.133333
MARINERS HARBOR SI,New Jersey,40.633333,-74.166667
GULFPORT SI,New Jersey,40.633333,-74.2
